Name,Points,Text,Address,Field1
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",İçeride servis
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Adrese servis
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun giriş
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun oturma düzeni
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun park yeri
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Kahve
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Vejetaryenlere yönelik seçenekler
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Kahvaltı
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Geç kahvaltı
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Öğle yemeği
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Akşam yemeği
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Katering
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Tatlı
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Oturma alanı
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Kablosuz
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Ücretsiz kablosuz ağ bağlantısı
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Tuvalet
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Günlük kıyafet
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Rahat
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Aileler için uygun
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Gruplar
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Banka kartı
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Kredi kartı
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",NFC ile mobil ödeme
Paul's Place,"4,7",(62),"Kılınçarslan, Yeni Kapı Sk. No:24, 07100 Muratpaşa/Antalya",Çocuklar için uygun
Orange Garden Cafe Antalya,"4,7",(15),"Balbey, 07040 Muratpaşa/Antalya",
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Açık hava bölümü
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Temassız teslimat
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Adrese servis
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",İçeride servis
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun giriş
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun oturma düzeni
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun park yeri
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun tuvalet
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Alkol
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Bira
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Kahve
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Kahvaltı
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Geç kahvaltı
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Öğle yemeği
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Akşam yemeği
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Tatlı
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Oturma alanı
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Tuvalet
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Günlük kıyafet
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Rahat
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Gruplar
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Kredi kartı
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Çocuklar için uygun
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Mama sandalyesi
Dağyakası Kafe ve Mutfak,"4,0",(94),"Şirinyalı, 07160 Muratpaşa/Antalya",Cadde üzerinde ücretsiz park yeri
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Sahibi kadın olduğunu belirtiyor
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Açık hava bölümü
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Arabaya teslim alma
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Temassız teslimat
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Adrese servis
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Arabaya servis
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Paket servisi
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",İçeride servis
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun giriş
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun oturma düzeni
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun park yeri
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Tekerlekli sandalyeye uygun tuvalet
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Alkol
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Bira
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Geç akşam yemeği
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Helal gıda ürünleri
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Kahve
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Küçük porsiyonlu yemekler
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Organik yemekler
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Vejetaryenlere yönelik seçenekler
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Yiyecekler için indirimli saatler
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Kahvaltı
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Geç kahvaltı
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Öğle yemeği
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Akşam yemeği
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Tatlı
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Oturma alanı
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Kablosuz
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Ücretsiz kablosuz ağ bağlantısı
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Tuvalet
Otantik cafe Restourant,"4,8",(168),"Elmalı, Bogazici iş Merkezi, 15. Sk. 10/B, 07040 Muratpaşa/Antalya",Üniseks tuvalet
